Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,45.240002,45.560001,44.830002,45.000000,44.481445,6863500
2019-10-15,44.970001,45.180000,44.270000,44.380001,43.868587,14788500
2019-10-16,44.400002,45.360001,43.900002,45.000000,44.481445,15239700
2019-10-17,45.330002,45.700001,44.580002,44.910000,44.392483,24953800
2019-10-18,46.000000,46.549999,45.500000,46.060001,45.529232,47116600
2019-10-21,46.299999,46.750000,45.770000,46.400002,45.865314,15751100
2019-10-22,46.500000,47.669998,46.439999,47.400002,46.853790,17097300
2019-10-23,47.349998,48.360001,46.880001,47.599998,47.051483,20761300
2019-10-24,47.740002,48.080002,46.709999,47.299999,46.754940,22140500
2019-10-25,47.279999,48.049999,47.110001,47.730000,47.179985,10461600
2019-10-28,47.849998,48.790001,47.700001,48.790001,48.227772,14499600
2019-10-29,48.590000,49.110001,48.459999,48.660000,48.099266,10394400
2019-10-30,48.610001,49.419998,47.529999,49.419998,48.850510,15748200
2019-10-31,48.900002,49.000000,47.950001,48.150002,47.595146,14170300
2019-11-01,48.439999,48.799999,47.450001,47.959999,47.407333,12304300
2019-11-04,48.150002,48.549999,47.400002,47.689999,47.140446,11123000
2019-11-05,47.799999,48.450001,47.630001,47.990002,47.436989,9246200
2019-11-06,48.000000,48.480000,47.349998,47.669998,47.120674,10844200
2019-11-07,48.049999,48.480000,47.459999,47.669998,47.120674,14498100
2019-11-08,47.360001,47.750000,46.560001,47.000000,46.458397,16805900
2019-11-11,46.740002,47.430000,46.410000,47.240002,46.695633,10123900
2019-11-12,47.029999,47.540001,46.349998,46.720001,46.181625,16508300
2019-11-13,46.430000,46.689999,45.810001,45.950001,45.420498,13087600
2019-11-14,46.130001,46.750000,45.759998,46.509998,45.974045,12033500
2019-11-18,47.000000,47.150002,46.000000,46.529999,45.993809,15585600
2019-11-19,46.349998,46.470001,45.709999,45.790001,45.262341,8118000
2019-11-21,45.750000,46.490002,45.650002,46.380001,45.845543,11252800
2019-11-22,46.090000,46.900002,45.919998,46.750000,46.577877,7639800
2019-11-25,46.759998,46.939999,46.270000,46.599998,46.428429,7430100
2019-11-26,46.349998,46.380001,45.560001,46.000000,45.830639,15330000
2019-11-27,46.200001,47.380001,45.490002,47.340000,47.165707,11237900
2019-11-28,46.939999,47.669998,46.560001,47.599998,47.424747,6909900
2019-11-29,47.639999,47.990002,47.410000,47.810001,47.633976,7285500
2019-12-02,47.810001,48.330002,47.430000,47.430000,47.255375,9727400
2019-12-03,48.139999,48.689999,47.950001,48.389999,48.211838,17536700
2019-12-04,48.389999,49.130001,48.299999,49.090000,48.909260,15029100
2019-12-05,49.160000,49.270000,48.310001,48.669998,48.490807,9473100
2019-12-06,48.580002,48.990002,48.270000,48.470001,48.291546,9635700
2019-12-09,48.349998,48.950001,48.310001,48.619999,48.440990,8429900
2019-12-10,48.549999,48.740002,47.660000,47.919998,47.743568,6527300
2019-12-11,48.049999,48.369999,47.560001,47.849998,47.673824,9979700
2019-12-12,48.000000,48.910000,47.860001,48.910000,48.910000,8498200
2019-12-13,48.860001,49.500000,48.360001,48.529999,48.529999,18029900
2019-12-16,48.759998,49.250000,47.869999,47.869999,47.869999,12007400
2019-12-17,48.139999,48.950001,47.919998,48.950001,48.950001,10542000
2019-12-18,48.750000,50.709999,48.630001,50.639999,50.639999,20459600
2019-12-19,50.299999,51.160000,50.080002,51.160000,51.160000,12193800
2019-12-20,50.950001,51.099998,50.240002,51.060001,51.060001,9537300
2019-12-23,50.959999,52.599998,50.740002,52.599998,52.599998,8803400
2019-12-26,52.480000,53.259998,52.349998,53.200001,53.200001,10031600
2019-12-27,53.349998,53.669998,52.430000,52.480000,52.480000,5529300
2019-12-30,53.099998,53.340000,52.849998,53.009998,53.009998,4570400
2020-01-02,53.349998,53.900002,53.169998,53.790001,53.790001,9140500
2020-01-03,53.099998,53.910000,52.849998,53.709999,53.709999,9465400
2020-01-06,53.400002,53.400002,52.450001,53.000000,53.000000,9999900
2020-01-07,53.000000,53.029999,52.290001,52.599998,52.599998,10638500
2020-01-08,52.759998,52.990002,52.040001,52.119999,52.119999,21468600
2020-01-09,52.200001,52.330002,50.730000,51.060001,51.060001,24743000
2020-01-10,51.160000,51.439999,49.560001,49.860001,49.860001,15348200
2020-01-13,49.980000,50.500000,49.610001,50.419998,50.419998,14181900
2020-01-14,50.279999,50.490002,49.750000,50.150002,50.150002,8765000
2020-01-15,49.930000,50.020000,48.849998,49.230000,49.230000,14501900
2020-01-16,49.470001,49.779999,48.980000,49.450001,49.450001,11872600
2020-01-17,49.860001,50.270000,49.730000,50.119999,50.119999,11421800
2020-01-20,50.000000,50.349998,49.270000,49.799999,49.799999,8498300
2020-01-21,49.549999,49.650002,48.049999,48.360001,48.360001,14479200
2020-01-22,48.810001,48.990002,48.290001,48.740002,48.740002,10459400
2020-01-23,48.540001,51.480000,48.380001,51.480000,51.480000,21624500
2020-01-24,51.400002,51.480000,50.799999,50.799999,50.799999,9150300
2020-01-27,50.060001,51.070000,49.730000,50.299999,50.299999,12015900
2020-01-28,50.799999,51.150002,50.080002,50.709999,50.709999,7646400
2020-01-29,51.000000,51.380001,49.360001,49.459999,49.459999,8400200
2020-01-30,48.700001,49.990002,48.369999,49.799999,49.799999,12539900
2020-01-31,49.110001,49.119999,48.220001,48.540001,48.540001,16126400
2020-02-03,48.549999,49.139999,48.009998,48.779999,48.779999,10201400
2020-02-04,49.290001,49.599998,48.250000,48.250000,48.250000,11766600
2020-02-05,49.200001,51.290001,49.099998,50.400002,50.400002,23691700
2020-02-06,51.000000,51.049999,49.250000,49.549999,49.549999,9662900
2020-02-07,49.549999,50.320000,49.259998,49.599998,49.599998,7795000
2020-02-10,49.709999,49.990002,48.880001,49.110001,49.110001,7785300
2020-02-11,49.919998,51.650002,49.680000,51.320000,51.320000,18096500
2020-02-12,51.869999,52.360001,50.669998,51.619999,51.619999,16617100
2020-02-13,51.349998,51.540001,50.450001,50.820000,50.820000,13806300
